RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        38416     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.382D-01  4.430D+01
    1    3     1     0  ---    1  4.4D-02  4.2D-01  3.111D-01  4.259D+01
    2    6     0     0  con    2  2.3D+00  6.8D-01  8.163D-01  3.668D+01
    3    9     0     0  con    2  2.2D-02  1.5D-01  1.199D+00  3.590D+01
    4   10     0     0  con    0  1.0D+00  2.0D-01  1.257D+00  3.277D+01
    5   11     0     0  con    0  1.0D+00  6.5D-01  1.543D+00  2.947D+01
    6   12     0     0  con    0  1.0D+00  3.2D-01  3.592D-01  2.470D+01
    7   13     0     0  con    0  1.0D+00  1.6D-01  1.094D-01  2.371D+01
    8   14     0     0  con    0  1.0D+00  1.1D-01  1.189D-01  2.353D+01
    9   15     0     0  con    0  1.0D+00  4.6D-02  1.239D-01  2.342D+01
   10   16     0     0  con    0  1.0D+00  6.5D-01  3.290D-01  2.224D+01
   11   18     0     0  con    1  3.9D-01  4.9D-01  4.801D-01  2.166D+01
   12   19     0     0  con    0  1.0D+00  4.8D-01  5.084D-01  2.064D+01
   13   20     0     0  con    0  1.0D+00  7.9D-01  4.848D-01  1.850D+01
   14   21     0     0  con    0  1.0D+00  3.8D-01  2.959D-01  1.719D+01
   15   22     0     0  con    0  1.0D+00  3.1D-01  2.025D-01  1.640D+01
   16   23     0     0  con    0  1.0D+00  9.5D-02  1.651D-01  1.607D+01
   17   24     0     0  con    0  1.0D+00  3.8D-01  1.888D-01  1.539D+01
   18   25     0     0  con    0  1.0D+00  6.8D-01  3.470D-01  1.489D+01
